,5
not_provided,10739
not_specified|not_provided,878
"Hypercholesterolemia,_familial,_1",627
"Breast-ovarian_cancer,_familial,_susceptibility_to,_1",591
"Breast-ovarian_cancer,_familial,_susceptibility_to,_2",567
Hereditary_cancer-predisposing_syndrome,495
not_specified,365
Marfan_syndrome,348
"Hereditary_breast_ovarian_cancer_syndrome|Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|not_provided",346
Lynch_syndrome,305
"Ehlers-Danlos_syndrome,_type_4",294
Marfan_syndrome|Familial_thoracic_aortic_aneurysm_and_aortic_dissection,263
"Hereditary_breast_ovarian_cancer_syndrome|Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_1|not_provided",256
"Hereditary_breast_ovarian_cancer_syndrome|Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_2",236
"Hereditary_breast_ovarian_cancer_syndrome|Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_1",209
"Hereditary_breast_ovarian_cancer_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_2",193
"Hereditary_breast_ovarian_cancer_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_1",176
"Hereditary_breast_ovarian_cancer_syndrome|Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|not_specified|not_provided",160
Cornelia_de_Lange_syndrome_1,153
Hereditary_cancer-predisposing_syndrome|not_provided,147
"Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_2",146
"Cardiomyopathy|Tibial_muscular_dystrophy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Early-onset_myopathy_with_fatal_cardiomyopathy|not_specified|Cardiovascular_phenotype|not_provided",143
Lynch_syndrome|Hereditary_cancer-predisposing_syndrome|Hereditary_nonpolyposis_colorectal_neoplasms,141
"Familial_hypercholesterolemia|Hypercholesterolemia,_familial,_1",139
"Tibial_muscular_dystrophy|Myopathy,_myofibrillar,_9,_with_early_respiratory_failure|Dilated_cardiomyopathy_1G|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2J|Early-onset_myopathy_with_fatal_cardiomyopathy|not_specified|Cardiovascular_phenotype|not_provided",134
Marfan_syndrome|Familial_thoracic_aortic_aneurysm_and_aortic_dissection|not_provided,123
"Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_1",111
Hereditary_breast_ovarian_cancer_syndrome,110
Hereditary_cancer-predisposing_syndrome|Hereditary_nonpolyposis_colorectal_neoplasms|not_provided,107
Severe_myoclonic_epilepsy_in_infancy,104
Hereditary_cancer-predisposing_syndrome|Hereditary_nonpolyposis_colorectal_neoplasms,104
Lynch_syndrome|Hereditary_cancer-predisposing_syndrome,102
Wilson_disease,100
Inborn_genetic_diseases,99
"Hereditary_breast_ovarian_cancer_syndrome|Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_1|not_specified|not_provided",98
Lynch_syndrome|Hereditary_cancer-predisposing_syndrome|Hereditary_nonpolyposis_colorectal_neoplasms|not_provided,94
Familial_thoracic_aortic_aneurysm_and_aortic_dissection,92
Severe_X-linked_myotubular_myopathy,86
Sotos_syndrome_1,86
Hereditary_cancer-predisposing_syndrome|Familial_adenomatous_polyposis_1|not_provided,85
Hypertrophic_cardiomyopathy,83
Hypertrophic_cardiomyopathy|not_provided,81
